0,Text0,"Ketjsoff",18,-1,0.44,∞,NaN
1,Text1,"",24,0,1,16,22
2,Text2,"",24,0,1,16,-3.5
3,Text3,"",24,0,1,16,-35
6,Text6,"Ketjson",18,-1,0.44,∞,NaN
7,Text7,"1",18,4,0.45,12.5,22.3
8,Text8,"2",18,4,0.45,12.5,-3.6
30,Text30,"　　",16,0,0.27,20.4,-6.7
31,Text31,"　　",16,0,0.27,24.7,-6.7
32,Text32,"　　",16,0,0.27,29,-6.7
33,Text33,"　　",16,0,0.27,33.3,-6.7
34,Text34,"　　",16,0,0.27,37.6,-6.7
35,Text35,"　　",16,0,0.27,41.9,-6.7
36,Text36,"　　",16,0,0.27,46.2,-6.7
37,Text37,"　　",16,0,0.27,50.5,-6.7
38,Text38,"　　",16,0,0.27,54.8,-6.7
39,Text39,"　　",16,0,0.27,59.1,-6.7
40,Text40,"　　",16,0,0.27,20.4,-10
41,Text41,"　　",16,0,0.27,24.7,-10
42,Text42,"　　",16,0,0.27,29,-10
43,Text43,"　　",16,0,0.27,33.3,-10
44,Text44,"　　",16,0,0.27,37.6,-10
45,Text45,"　　",16,0,0.27,41.9,-10
46,Text46,"　　",16,0,0.27,46.2,-10
47,Text47,"　　",16,0,0.27,50.5,-10
48,Text48,"　　",16,0,0.27,54.8,-10
49,Text49,"　　",16,0,0.27,59.1,-10
50,Text50,"　　",16,0,0.27,20.4,-13.3
51,Text51,"　　",16,0,0.27,24.7,-13.3
52,Text52,"　　",16,0,0.27,29,-13.3
53,Text53,"　　",16,0,0.27,33.3,-13.3
54,Text54,"　　",16,0,0.27,37.6,-13.3
55,Text55,"　　",16,0,0.27,41.9,-13.3
56,Text56,"　　",16,0,0.27,46.2,-13.3
57,Text57,"　　",16,0,0.27,50.5,-13.3
58,Text58,"　　",16,0,0.27,54.8,-13.3
59,Text59,"　　",16,0,0.27,59.1,-13.3
60,Text60,"　　",16,0,0.27,20.4,-16.6
61,Text61,"　　",16,0,0.27,24.7,-16.6
62,Text62,"　　",16,0,0.27,29,-16.6
63,Text63,"　　",16,0,0.27,33.3,-16.6
64,Text64,"　　",16,0,0.27,37.6,-16.6
65,Text65,"　　",16,0,0.27,41.9,-16.6
66,Text66,"　　",16,0,0.27,46.2,-16.6
67,Text67,"　　",16,0,0.27,50.5,-16.6
68,Text68,"　　",16,0,0.27,54.8,-16.6
69,Text69,"　　",16,0,0.27,59.1,-16.6
70,Text70,"　　",16,0,0.27,20.4,-20.6
71,Text71,"　　",16,0,0.27,24.7,-20.6
72,Text72,"　　",16,0,0.27,29,-20.6
73,Text73,"　　",16,0,0.27,33.3,-20.6
74,Text74,"　　",16,0,0.27,37.6,-20.6
75,Text75,"　　",16,0,0.27,41.9,-20.6
76,Text76,"　　",16,0,0.27,46.2,-20.6
77,Text77,"　　",16,0,0.27,50.5,-20.6
78,Text78,"　　",16,0,0.27,54.8,-20.6
79,Text79,"　　",16,0,0.27,59.1,-20.6
80,Text80,"　　",16,0,0.27,63.4,-20.6
81,Text81,"　　",16,0,0.27,20.4,-23.9
82,Text82,"　　",16,0,0.27,24.7,-23.9
83,Text83,"　　",16,0,0.27,29,-23.9
84,Text84,"　　",16,0,0.27,33.3,-23.9
85,Text85,"　　",16,0,0.27,37.6,-23.9
86,Text86,"　　",16,0,0.27,41.9,-23.9
87,Text87,"　　",16,0,0.27,46.2,-23.9
88,Text88,"　　",16,0,0.27,50.5,-23.9
89,Text89,"　　",16,0,0.27,54.8,-23.9
90,Text90,"　　",16,0,0.27,59.1,-23.9
91,Text91,"　　",16,0,0.27,63.4,-23.9
92,Text92,"　　",16,0,0.27,20.4,-27.2
93,Text93,"　　",16,0,0.27,24.7,-27.2
94,Text94,"　　",16,0,0.27,29,-27.2
95,Text95,"　　",16,0,0.27,33.3,-27.2
96,Text96,"　　",16,0,0.27,37.6,-27.2
